source_index,x,y,z,before_class,after_class,before_instance,after_instance,fusion_score,after_step05_type
1265046,6.0463373346354405,-2.352994464883679,0.02486046734766749,4,3,0,87,0.6499999761581421,0
1265352,6.04589295385584,-2.353715216733586,0.024257146833008884,4,3,0,87,0.6499999761581421,0
1265353,6.045023286705785,-2.3540936217126074,0.022712329980495514,4,3,0,87,0.5,0
1265354,6.044066753177959,-2.3539321244052633,0.021745027884748087,4,3,0,87,0.5,0
1265667,6.046268573295012,-2.35402496935252,0.02362172446041229,4,3,0,87,0.5,0
1265668,6.046023700273205,-2.3542146404147224,0.022450350330786954,4,3,0,87,0.5,0
1265995,6.047243753214563,-2.3520873285544845,0.02513763524229471,4,3,0,87,0.6499999761581421,0
1265996,6.047265378222111,-2.3523638961617013,0.025005091746043623,4,3,0,87,0.6499999761581421,0
1265997,6.047141942422351,-2.3529297161625626,0.024705100645542766,4,3,0,87,0.6499999761581421,0
1266635,6.047234589858249,-2.3534370749760196,0.02429191404453608,4,3,0,87,0.6499999761581421,0
1266636,6.046976360317078,-2.3539807829703445,0.02363671437609384,4,3,0,87,0.5,0
1266637,6.046995625066181,-2.3542393879442955,0.022890422605363163,4,3,0,87,0.5,0
1266638,6.046170005962254,-2.3540849965293558,0.02156264508840093,4,3,0,87,0.5,0
1266639,6.045485040994282,-2.354017781397554,0.02171037528354191,4,3,0,87,0.5,0
1266936,6.046729989237019,-2.3542649506588713,0.02190328752756423,4,3,0,87,0.5,0
1267239,6.047608004211677,-2.354396897283185,0.021968462120333675,4,3,0,87,0.5,0
1267240,6.047139254317824,-2.3543200196248137,0.022378684079918713,4,3,0,87,0.5,0
1267863,6.047822146038511,-2.3540815376603996,0.023367431665718544,4,3,0,87,0.5,0
1267864,6.0482254107193265,-2.3544551644221015,0.021869195113837003,4,3,0,87,0.5,0
1268144,6.048134394346851,-2.354370140807702,0.02245677612222633,4,3,0,87,0.5,0
1268477,6.0488692619219355,-2.3545338528974358,0.021682401234892852,4,3,0,87,0.5,0
1268771,6.04901918441829,-2.353943391005547,0.023480543126434376,4,3,0,87,0.5,0
